"Source:","E:\Projects\4.4 IN9 Music Visualizer RevC\In9 Music Visualizer RevC\In9 Music Visualizer RevC.sch"
"Date:","8/29/2021 4:59:00 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","98"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R37","180","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","CRG0805F180R"
"","","R38","180","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","CRG0805F180R"
"","","U1","LMV358","Amplifier_Operational:LMV358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","LMV358ID"
"","","U2","LM3478","My_Library:LM3478","Package_SO:SO-8_3.9x4.9mm_P1.27mm","LM3478MAX/NOPB"
"","","U3","TPS352207","My_Library:TPS352207","Package_TO_SOT_SMD:SOT-563","TPS352207"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","6","C1, C3, C4, C14, C18, C21","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"2","1","C2","620pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CC0805JRNPO9BN621"
"3","1","C5","100uF","Device:CP1","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","ESY107M025AE3AA"
"4","4","C6, C7, C19, C20","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GRM21BR61E106MA73L"
"5","2","C8, C9","82uF","Device:CP1","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","EEU-ED2E820S"
"6","4","C10, C11, C12, C13","1uF","Device:C","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","C5750X7R2E105K230KA"
"7","1","C15","0.16uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21B154KBFNNNG"
"8","1","C16","3.3nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","885012207119"
"9","1","C17","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C103KAT2A"
"10","1","C22","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21C220JBANNNC"
"11","2","C23, C24","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A226MOCLRNC"
"12","11","C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"13","1","D1","MUR860J","Device:D","Diode_SMD:D_SMC_Handsoldering","MUR860J"
"14","1","HS1","V6560W","Mechanical:Heatsink","My_Library:V6560W","V6560W"
"15","2","J1, J2","PWR_IN","Connector_Generic:Conn_01x02","My_Library:640456-2","640456-2"
"16","1","J3","MIC_INPUT","Connector_Generic:Conn_01x03","My_Library:640456-3","640456-3"
"17","1","J4","IN9_MOUNTING_BOARD","Connector_Generic:Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","BHR-12-VUA"
"18","1","L1","330uH","Device:L","My_Library:L_Murata_6000B","60B334C"
"19","1","L2","4.7uH","Device:L","Inductor_SMD:L_Bourns_SRN6045TA","SRN6045-4R7Y"
"20","1","MCU1","Teensy 3.6","Connector_Generic:Conn_02x24_Counter_Clockwise","My_Library:Teensy3.6","~"
"21","1","Q1","DMN6140L-13","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23_Handsoldering","DMN6140L-13"
